상호,주소,별점,메뉴
청와옥 군자역점,서울 광진구 천호대로 562 1층,3.7,"수육(25,000원), 육사시미(9,900원), 동해오징어숯불구이(9,900원), 술국(16,000원), 청와옥 순대국(9,000원), 청와옥 편백정식(15,000원), 얼큰 순대국(10,000원), 찹쌀,고기순대(22,000원), 모둠순대+수육(25,000원), 육회(국내산) 소(9,900원), 육회(국내산) 대(19,000원), 어린이국수(5,000원), 청와옥 솥밥정식(12,000원)"
시래마을,서울 광진구 아차산로 431 강변에스케이뷰 상가3동 1층 104~105호,4.7,"시래마을 모둠세트(70,000원), 보쌈 (중)(30,000원), 갈비찜 (중)(45,000원), 시래기 해물파전(18,000원), 감자전(12,000원), 들깨시래기(13,000원), 수육정식(18,000원), 시래기고등어정식(18,000원), 갈비찜정식(22,000원)"
포항막회물회,서울 광진구 아차산로31길 28 1층,3.9,"물회(29,000원), 막회（회무침）(29,000원), 콜라(2,000원), 사이다(2,000원), 처음처럼(3,000원), 참이슬 후레쉬(3,000원), 카스(3,000원), 테라(3,000원)"
섬진강풍천장어직판장,서울 광진구 동일로 190 1층,3.6,"장어정식 (점심특선)(21,000원), 특대한마리 (활장어500g)(42,000원), 특대반마리(21,000원), 웰빙장어탕(10,000원), 장어덮밥 (점심특선)(15,000원)"
산골닭갈비,서울 광진구 구의강변로7길 5 1층,3.5,"뼈없는닭갈비 (1인)(14,000원)"
찜집,서울 광진구 자양번영로 44 1층,4.0,"아구찜 (소)(39,000원), 해물찜 (소)(59,000원), 아구탕 (소)(39,000원), 아구찜 (2인)(29,000원), 아구탕 (2인)(29,000원)"
동대문곱창,서울 광진구 뚝섬로27길 37 1층,3.6,"곱창(12,000원), 오돌뼈(12,000원), 치즈곱창(14,000원), 계란탕(7,000원), 치즈계란말이(15,000원), 꼬막(20,000원), 닭볶음탕(35,000원), 닭꽃게탕(50,000원), 곱도리탕(40,000원), 곱창사리(5,000원)"
화양시장할머니순대국,서울 광진구 아차산로 293 1층,3.6,"골고루(11,000원), 순대만(11,000원), 머리만(11,000원), 내장빼기(11,000원), 순대빼기(11,000원), 머리빼기(11,000원), 대창빼기(11,000원), 내장만(14,000원), 오소리만(14,000원), 아기집만(14,000원), 대창만(16,000원), 술국 (골고루)(소)(30,000원), 술국 (내장만)(소)(40,000원), 머리모듬 (소)(30,000원), 골고루모듬 (소)(30,000원), 내장모듬 (소)(40,000원), 순대내장볶음(1인)(15,000원), 순대만볶음(1인)(15,000원), 내장만볶음(1인)(18,000원), 대창만볶음(1인)(20,000원), 삼색순대(1인)(15,000원), 일반순대(1인)(8,000원), 편육(15,000원), 뼈해장국(10,000원), 양선지해장국(10,000원), 김치찌개(8,000원), 꽁치김치찌개(8,000원)"
양촌리 구의점,서울 광진구 아차산로 482 1-2층,,"돼지갈비(230g)(25,000원), 시래기고등어조림(12,000원), 등갈비묵은지찜(12,000원), 왕갈비탕(19,000원), 옛날식김치찌개(10,000원)"
임진강,서울 광진구 긴고랑로 93,3.7,"풍천민물장어 (왕) (1마리)(42,000원), 풍천민물장어 (대) (2마리)(58,000원), 메기매운탕 (소)(35,000원), 빠가매운탕 (소)(45,000원), 장추어탕(9,000원), 된장찌개(5,000원), 멸치국수(4,000원)"
