상호,주소,별점,메뉴
스시오리,서울 광진구 천호대로132길 56 1층,4.7,"광어초밥(1ps)(2,400원), 광어지느러미초밥(1ps)(2,800원), 도미초밥(1ps)(2,800원), 도미뱃살초밥(1ps)(3,300원), 연어초밥(1ps)(2,500원), 연어뱃살초밥(1ps)(3,000원), 연어아부리초밥(1ps)(2,600원), 참다랑어속살(아까미)초밥(1ps)(3,500원), 참다랑어중뱃살(주도로)초밥(1ps)(4,500원), 참다랑어대뱃살(오도로)초밥(1ps)(6,500원), 유부초밥(1ps)(1,500원), 한치초밥(1ps)(2,200원), 간장새우초밥(1ps)(2,800원), 찐새우(초새우)초밥(1ps)(2,000원), 단새우초밥(1ps)(4,000원), 민물장어(우나기)초밥(1ps)(3,200원), 바다장어(아나고)초밥(1ps)(3,200원), 성게알(우니)초밥(1ps)(7,000원), 아귀간(안키모)초밥(1ps)(3,500원), 계란초밥(1ps)(1,500원), 소고기초밥(1ps)(3,200원), 날치알마끼초밥(1ps)(2,500원), 고등어(시메사바)초밥(1ps) (계절메뉴)(3,300원), 전갱이초밥(1ps) (계절메뉴)(3,000원), 잿방어초밥(1ps) (계절메뉴)(3,800원), 잿방어뱃살초밥(1ps) (계절메뉴)(4,200원), 전어초밥(1ps) (계절메뉴)(3,000원), 방어초밥(1ps) (계절메뉴)(3,500원), 방어뱃살초밥(1ps) (계절메뉴)(4,000원), 지라시덮밥(20,000원), 카이센동(20,000원), 마구로동(참치덮밥)(2,900원), 사케동(연어덮밥)(22,000원), 오늘의사시미(1인)(27,000원)"
무한정수제돈까스 군자점,서울 광진구 군자로 102 1층,4.4,"생등심 수제 돈까스 정식(8,000원), 수제 떡갈비 정식(8,000원), 한우 사골 떡국 정식(8,000원), 한우 사골 떡만두국 정식(8,000원), 매콤달콤 즉석떡볶이 정식(8,000원)"
별스시,서울 광진구 능동로 390,4.2,"오늘의 초밥(17,000원), 특모듬 초밥(23,000원), 사누끼우동(7,000원), 소바 （모밀）(7,000원), 연어초밥 10ps(24,000원), 광어초밥 10ps(24,000원), 스시 코스(27,000원), 우동＋초밥（7ps）＋죽(17,000원), 모밀＋초밥（7ps）＋죽(17,000원), 카스테라 계란초밥 10ps(14,000원), 초새우초밥 10ps(15,000원), 간장새우 10ps(16,000원), 생새우초밥 10ps(16,000원), 소고기초밥 10ps(23,000원), 참치초밥 10ps(23,000원), 새우5ps＋광어5ps(20,000원), 연어5ps＋광어5ps(24,000원), 쇠고기5ps＋광어5ps(24,000원), 새우롤(12,000원), 연어롤(18,000원), 카스테라계란초밥 2ps(2,500원), 간장새우 2ps(3,500원), 초새우 2ps(3,000원), 생새우 2ps(3,500원), 연어 1ps(3,000원), 광어 1ps(2,500원), 청하(7,000원), 카스ㆍ테라(5,000원), 처음처럼ㆍ진로이즈백ㆍ세로(5,000원), 참이슬 후레쉬(5,000원)"
애플돈까스 구의본점,서울 광진구 자양로 249,3.4,"돈까스(9,000원), 생선까스(10,000원), 함박스테이크(10,000원), 정식(13,000원), 부대찌개(18,000원), 만두국(9,000원), 칡냉면 (물/비빔)(9,000원)"
착한돈까스,서울 광진구 군자로3길 26 1층,4.5,"돈까스+백반(10,000원), 백반(8,000원)"
키움 참치 구의점,서울 광진구 자양로18길 17 1층,3.8,"참치 특 초밥(20,000원), 참치 초밥(15,000원), 참치회 기본 (1인분)(28,000원), 참치회 비지니스 (1인분)(33,000원), 특 스페셜 (1인분)(42,000원), 키움 스페셜 (1인분)(55,000원), 로얄 스페셜 (1인분)(75,000원), 소주(5,000원), 맥주(5,000원), 한맥 2병 (행사중)(8,000원)"
고씨네 건국대점,서울 광진구 능동로13길 6 2층,4.4,"스페셜카레(12,900원), 돈가스카레(10,900원), 닭튀김카레(10,900원), 소고기카레(10,900원), 버섯카레(10,400원), 떡갈비카레(10,900원), 소고기 치즈세트(14,500원), 버섯스페셜카레세트(14,500원), 소고기 후라이 세트(14,500원), 치킨카레세트(14,500원), 포크카레세트(14,500원), 고로케카레(10,900원), 포크카레(10,400원), 돈가스(3,800원), 닭튀김(3,800원), 새우튀김(3,800원), 후라이(1,800원), 소세지(3,000원), 떡갈비(3,800원), 감자고로케(3,800원), 고구마치즈고로케(4,300원), 소고기 떡갈비 세트(14,500원), 치즈스페셜세트(15,500원), 새우스페셜세트(15,500원), 치즈카레세트(14,500원), 밥 추가(2,000원), 카레 추가(5,400원), 콜라 355mL(3,000원), 사이다 355mL(3,000원), 제로펩시 355ml(3,000원)"
숙성회136,서울 광진구 군자로 179-2 1층 103호,,"숙성회 모듬 6종(28,500원), 사케동(14,500원), 카이센동(18,500원), 숙성회 모듬 9종(34,500원), 참돔 광어 사시미(44,000원), 숙성 연어 사시미(27,500원), 시메사바(23,000원), 살 찐 고등어 봉 초밥(8pcs)(25,000원), 모츠나베(23,000원), 간사이 오뎅 나베(20,000원), 가이센 나베(19,000원), 마구로동(14,500원), 반반동(14,500원), 후토마끼(4pcs)(11,000원), 타코와사비(8,000원), 안키모(11,000원), 136튀김(13,000원), 고로케(3pcs)(5,000원), 찐전복 추가(4,500원), 단새우 추가(3pcs)(3,800원)"
e참치세상 군자점,서울 광진구 군자로17길 42 1층,4.6,"참치회(1인분)(19,000원), 스페셜(1인분)(29,000원)"
후타리본,서울 광진구 아차산로31길 20-6 1층,4.5,"참이슬후레쉬(5,000원), 처음처럼(5,000원), 진로이즈백(5,000원), 처음처럼 새로(5,000원), 한라산(5,000원), 카스(5,000원), 테라(5,000원), 청하(6,000원), 별빛청하(6,000원), 서울의 밤(15,000원), 화요25(29,000원), 일품진로(29,000원), 간바레 오또상(32,000원), 준마이750(35,000원), 비잔클리어(40,000원), 온나나카세(95,000원), 나마죠죠(26,000원), 준마이 다이긴죠(75,000원)"
참치논데,서울 광진구 능동로37길 35 2층,5.0,
군자돈까스,서울 광진구 능동로 276 한성빌딩 1층,4.2,"등심돈까스(12,000원), 생선까스(10,000원), 안심돈까스(13,000원), 치즈돈까스(12,500원), 등심.안심반반(14,500원), 안심.치즈 반반(14,500원), 등심돈까스 추가(8,000원), 안심돈까스 추가(10,000원), 치즈돈까스 추가(9,000원), 공기밥(1,000원), 콜라 355mL 캔(2,000원), 사이다 355mL 캔(2,000원)"
